alert_id,source_text,category,urgency_level,timestamp,state,export_timestamp
EVACUATION-CA-20260208-01,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:05:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:04:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-03,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:03:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-04,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:02:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-05,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:01:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-06,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:00:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:59:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,Shelter-in-place order for affected neighborhoods until 6pm due to hazardous materials incident.,evacuation,elevated,2026-02-08 22:58:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:57:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:56:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,Shelter-in-place order for affected neighborhoods until 6pm due to hazardous materials incident.,evacuation,elevated,2026-02-08 22:55:25.711362,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-00,Civil emergency message: Hazardous materials spill near River Road. Stay indoors and close windows.,public_safety,elevated,2026-02-08 23:06:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-01,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:05:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-02,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:04:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-03,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:03:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-04,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:02:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-05,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:01:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-06,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:00:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-07,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 22:59:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-08,Civil emergency message: Hazardous materials spill near River Road. Stay indoors and close windows.,public_safety,elevated,2026-02-08 22:58:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-09,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 22:57:25.903681,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,Environmental hazard: Chemical odor reported. Authorities investigating. Avoid the area.,health,elevated,2026-02-08 23:06:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:05:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:04:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:03:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:02:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:01:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:00:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-07,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 22:59:26.064134,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 23:06:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:05:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:04:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-03,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:03:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-04,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:02:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-05,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:01:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-06,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:00:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-07,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:59:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-08,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 22:58:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-09,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:57:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-10,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:56:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-11,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 22:55:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-12,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:54:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-13,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:53:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-14,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 22:52:25.488383,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-00,Shelter-in-place order for affected neighborhoods until 6pm due to hazardous materials incident.,evacuation,elevated,2026-02-08 23:06:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-01,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:05:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-02,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:04:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-03,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 23:03:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-04,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:02:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-05,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:01:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-06,Voluntary evacuation advised for coastal areas before tonight due to incoming storm surge.,evacuation,elevated,2026-02-08 23:00:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-07,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:59:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-08,Shelter-in-place order for affected neighborhoods until 6pm due to hazardous materials incident.,evacuation,elevated,2026-02-08 22:58:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-09,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:57:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-10,Mandatory evacuation for Zone A effective immediately. Follow instructions from local authorities.,evacuation,extreme,2026-02-08 22:56:25.711362,CA,2026-02-08T23:07:22.517362
EVACUATION-CA-20260208-11,Shelter-in-place order for affected neighborhoods until 6pm due to hazardous materials incident.,evacuation,elevated,2026-02-08 22:55:25.711362,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-00,Civil emergency message: Hazardous materials spill near River Road. Stay indoors and close windows.,public_safety,elevated,2026-02-08 23:06:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-01,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:05:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-02,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:04:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-03,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 23:03:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-04,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:02:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-05,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:01:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-06,Curfew in effect from 9pm to 6am for public safety.,public_safety,elevated,2026-02-08 23:00:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-07,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 22:59:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-08,Civil emergency message: Hazardous materials spill near River Road. Stay indoors and close windows.,public_safety,elevated,2026-02-08 22:58:25.903681,CA,2026-02-08T23:07:22.517362
PUBLIC_SAFETY-CA-20260208-09,Law enforcement advisory: Avoid downtown area due to ongoing operations. Follow official guidance.,public_safety,elevated,2026-02-08 22:57:25.903681,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-00,Environmental hazard: Chemical odor reported. Authorities investigating. Avoid the area.,health,elevated,2026-02-08 23:06:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-01,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:05:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-02,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:04:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-03,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 23:03:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-04,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:02:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-05,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:01:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-06,Boil water notice until further notice. Use bottled water if available.,health,elevated,2026-02-08 23:00:26.064134,CA,2026-02-08T23:07:22.517362
HEALTH-CA-20260208-07,Public health alert: Air quality is dangerous due to smoke. Limit outdoor activity.,health,elevated,2026-02-08 22:59:26.064134,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-00,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 23:06:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-01,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:05:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-02,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:04:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-03,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 23:03:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-04,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:02:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-05,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:01:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-06,Flood warning: Move to higher ground now. Do not attempt to drive through flood waters.,weather,elevated,2026-02-08 23:00:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-07,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:59:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-08,Extreme heat alert: Stay hydrated and seek cooling centers now. Risk of heatstroke is severe.,weather,elevated,2026-02-08 22:58:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-09,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:57:25.488383,CA,2026-02-08T23:07:22.517362
WEATHER-CA-20260208-10,Evacuate immediately due to wildfire approaching the area. Life-threatening conditions expected.,weather,extreme,2026-02-08 22:56:25.488383,CA,2026-02-08T23:07:22.517362
